Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client  10,0.011,0.013,0.011,0.008,0.013,0.008,0.004,0.008,0.013,0.011,0.008,0.015,0.006,0.008,0.006,0.004,0.015,0.015,0.023,0.004,0.011,0.006,0.013,0.011,0.006,0.013,0.008,0.006,0.008,0.017,0.013,0.011,0.004,0.008,0.011,0.006,0.013,0.011,0.013,0.002,0.008,0.011,0.013,0.017,0.013,0.015,0.006,0.011,0.004,0.011,0.008,0.006,0.00,0.011,0.015,0.011,0.004,0.008,0.013,0.002,0.008,0.017,0.004,0.015,0.011,0.008,0.011,0.004,0.025,0.021,0.013,0.011,0.008,0.017,0.008,0.013,0.002,0.015,0.008,0.017,0.006,0.011,0.008,0.006,0.008,0.011,0.011,0.008,0.015,0.008,0.006,0.006,0.011,0.013,0.013,0.017,0.004,0.006,0.006,0.011,475
Client  11,0.020,0.011,0.008,0.003,0.008,0.011,0.014,0.003,0.008,0.014,0.014,0.006,0.006,0.014,0.008,0.006,0.014,0.006,0.008,0.008,0.011,0.00,0.008,0.014,0.006,0.017,0.006,0.006,0.020,0.006,0.008,0.008,0.011,0.011,0.011,0.006,0.008,0.008,0.011,0.014,0.011,0.011,0.011,0.008,0.011,0.008,0.008,0.011,0.020,0.008,0.006,0.014,0.014,0.006,0.008,0.006,0.011,0.011,0.011,0.008,0.003,0.014,0.014,0.008,0.006,0.006,0.014,0.003,0.011,0.014,0.008,0.014,0.006,0.011,0.017,0.020,0.006,0.017,0.003,0.008,0.008,0.00,0.011,0.011,0.014,0.006,0.011,0.011,0.014,0.006,0.022,0.011,0.017,0.008,0.008,0.006,0.011,0.011,0.011,0.011,356
Client  12,0.006,0.010,0.004,0.004,0.008,0.019,0.012,0.010,0.010,0.006,0.015,0.017,0.012,0.015,0.006,0.017,0.010,0.004,0.006,0.015,0.012,0.012,0.008,0.006,0.010,0.012,0.006,0.004,0.004,0.006,0.006,0.010,0.012,0.010,0.006,0.006,0.008,0.012,0.004,0.021,0.008,0.015,0.006,0.010,0.010,0.010,0.012,0.010,0.015,0.006,0.006,0.014,0.012,0.014,0.004,0.006,0.014,0.012,0.015,0.019,0.010,0.008,0.017,0.008,0.010,0.008,0.012,0.014,0.008,0.010,0.012,0.014,0.012,0.010,0.017,0.002,0.008,0.019,0.010,0.014,0.008,0.014,0.004,0.004,0.012,0.012,0.014,0.015,0.004,0.010,0.017,0.012,0.008,0.010,0.012,0.004,0.019,0.004,0.008,0.006,518
Client  13,0.006,0.013,0.004,0.008,0.021,0.015,0.004,0.013,0.011,0.006,0.019,0.011,0.006,0.004,0.013,0.019,0.013,0.017,0.011,0.004,0.008,0.004,0.013,0.023,0.011,0.015,0.011,0.004,0.013,0.008,0.008,0.011,0.008,0.008,0.011,0.017,0.013,0.013,0.013,0.008,0.013,0.013,0.013,0.008,0.006,0.004,0.015,0.006,0.013,0.008,0.019,0.008,0.008,0.002,0.015,0.008,0.015,0.013,0.006,0.006,0.017,0.008,0.006,0.017,0.006,0.004,0.011,0.013,0.011,0.008,0.008,0.019,0.013,0.002,0.011,0.004,0.013,0.015,0.011,0.006,0.008,0.006,0.006,0.008,0.008,0.008,0.004,0.004,0.008,0.002,0.008,0.006,0.008,0.008,0.017,0.006,0.015,0.013,0.006,0.002,472
Client  14,0.004,0.012,0.012,0.00,0.012,0.019,0.004,0.00,0.008,0.012,0.016,0.004,0.008,0.023,0.008,0.00,0.016,0.019,0.00,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.016,0.019,0.00,0.012,0.012,0.008,0.016,0.004,0.012,0.012,0.012,0.019,0.016,0.019,0.008,0.008,0.012,0.019,0.008,0.016,0.019,0.00,0.008,0.00,0.016,0.004,0.008,0.012,0.00,0.008,0.019,0.004,0.012,0.016,0.012,0.012,0.016,0.004,0.004,0.012,0.016,0.016,0.012,0.012,0.008,0.012,0.008,0.004,0.008,0.016,0.00,0.00,0.008,0.016,0.008,0.012,0.027,0.016,0.012,0.008,0.004,0.004,0.016,0.023,0.012,0.004,0.008,0.012,0.008,0.00,0.012,0.012,0.027,0.016,258
Client  15,0.020,0.022,0.006,0.008,0.014,0.008,0.011,0.014,0.013,0.009,0.008,0.008,0.014,0.013,0.003,0.013,0.006,0.005,0.006,0.014,0.005,0.009,0.013,0.009,0.013,0.014,0.008,0.008,0.014,0.008,0.014,0.006,0.014,0.008,0.014,0.014,0.008,0.008,0.014,0.006,0.019,0.016,0.003,0.013,0.008,0.009,0.009,0.009,0.003,0.003,0.009,0.003,0.006,0.005,0.009,0.011,0.008,0.011,0.006,0.006,0.006,0.016,0.013,0.009,0.008,0.008,0.006,0.008,0.009,0.011,0.006,0.011,0.008,0.008,0.009,0.008,0.011,0.011,0.008,0.017,0.014,0.006,0.008,0.013,0.011,0.013,0.014,0.003,0.014,0.006,0.013,0.011,0.006,0.022,0.008,0.006,0.017,0.011,0.009,0.013,637
Client  16,0.007,0.003,0.010,0.010,0.013,0.007,0.003,0.003,0.003,0.020,0.020,0.00,0.007,0.010,0.003,0.003,0.010,0.00,0.00,0.003,0.030,0.003,0.003,0.020,0.007,0.003,0.010,0.003,0.013,0.007,0.020,0.017,0.010,0.00,0.007,0.007,0.007,0.017,0.020,0.010,0.020,0.013,0.010,0.007,0.023,0.023,0.00,0.007,0.017,0.007,0.007,0.017,0.017,0.003,0.007,0.007,0.003,0.003,0.007,0.010,0.010,0.013,0.017,0.027,0.017,0.007,0.007,0.007,0.003,0.003,0.017,0.023,0.017,0.007,0.003,0.013,0.010,0.010,0.007,0.007,0.013,0.013,0.00,0.007,0.003,0.007,0.017,0.013,0.030,0.003,0.013,0.017,0.020,0.00,0.013,0.013,0.010,0.017,0.003,0.007,300
Client  17,0.00,0.005,0.009,0.014,0.002,0.012,0.007,0.005,0.012,0.005,0.007,0.00,0.005,0.009,0.00,0.007,0.005,0.021,0.016,0.009,0.007,0.009,0.014,0.019,0.009,0.014,0.012,0.012,0.012,0.012,0.002,0.007,0.005,0.007,0.014,0.007,0.009,0.016,0.012,0.009,0.023,0.005,0.002,0.019,0.007,0.009,0.019,0.005,0.012,0.021,0.012,0.012,0.007,0.007,0.007,0.005,0.009,0.016,0.019,0.014,0.016,0.002,0.009,0.019,0.014,0.007,0.012,0.019,0.016,0.005,0.009,0.002,0.014,0.002,0.021,0.021,0.009,0.019,0.012,0.009,0.012,0.002,0.002,0.016,0.007,0.005,0.009,0.016,0.012,0.007,0.005,0.005,0.005,0.007,0.012,0.012,0.014,0.005,0.007,0.016,428
Client  18,0.016,0.010,0.020,0.016,0.003,0.016,0.013,0.007,0.013,0.016,0.010,0.00,0.007,0.010,0.013,0.010,0.010,0.010,0.013,0.007,0.003,0.00,0.016,0.007,0.013,0.003,0.010,0.003,0.023,0.00,0.016,0.010,0.007,0.007,0.003,0.007,0.010,0.013,0.007,0.007,0.00,0.013,0.010,0.010,0.010,0.010,0.003,0.016,0.007,0.003,0.003,0.020,0.010,0.023,0.007,0.013,0.010,0.010,0.003,0.020,0.007,0.007,0.007,0.010,0.007,0.013,0.013,0.016,0.007,0.013,0.007,0.013,0.010,0.016,0.010,0.013,0.010,0.007,0.007,0.013,0.007,0.007,0.003,0.016,0.010,0.016,0.013,0.010,0.013,0.013,0.010,0.003,0.00,0.003,0.010,0.020,0.013,0.007,0.020,0.023,306
Client  19,0.012,0.006,0.010,0.006,0.002,0.014,0.010,0.010,0.020,0.020,0.008,0.018,0.006,0.006,0.018,0.008,0.012,0.006,0.012,0.008,0.008,0.002,0.008,0.016,0.006,0.010,0.010,0.010,0.014,0.008,0.004,0.006,0.008,0.012,0.008,0.010,0.008,0.010,0.006,0.010,0.010,0.004,0.006,0.014,0.012,0.014,0.014,0.014,0.008,0.012,0.018,0.008,0.008,0.004,0.010,0.006,0.006,0.012,0.006,0.008,0.010,0.008,0.002,0.018,0.012,0.012,0.012,0.012,0.014,0.014,0.010,0.018,0.010,0.002,0.014,0.014,0.008,0.006,0.012,0.014,0.012,0.012,0.010,0.008,0.012,0.006,0.014,0.006,0.006,0.006,0.006,0.010,0.010,0.016,0.008,0.010,0.014,0.016,0.014,0.006,502
Client  20,0.003,0.016,0.011,0.00,0.011,0.022,0.011,0.019,0.005,0.014,0.005,0.005,0.011,0.003,0.014,0.011,0.008,0.008,0.005,0.005,0.016,0.011,0.011,0.008,0.014,0.008,0.011,0.011,0.014,0.019,0.016,0.019,0.00,0.008,0.008,0.005,0.024,0.008,0.008,0.008,0.008,0.011,0.005,0.005,0.014,0.005,0.014,0.005,0.011,0.008,0.008,0.016,0.014,0.011,0.008,0.005,0.016,0.016,0.005,0.00,0.003,0.003,0.014,0.008,0.008,0.016,0.003,0.011,0.008,0.008,0.019,0.011,0.003,0.005,0.008,0.005,0.011,0.014,0.011,0.008,0.016,0.014,0.027,0.011,0.016,0.008,0.003,0.016,0.005,0.011,0.008,0.011,0.003,0.005,0.016,0.005,0.016,0.014,0.011,0.005,369
Client  21,0.007,0.013,0.013,0.015,0.011,0.009,0.012,0.012,0.005,0.009,0.007,0.009,0.015,0.015,0.010,0.007,0.007,0.009,0.011,0.008,0.009,0.008,0.006,0.016,0.009,0.013,0.009,0.007,0.010,0.011,0.014,0.012,0.010,0.007,0.011,0.008,0.006,0.008,0.012,0.010,0.014,0.013,0.014,0.009,0.009,0.013,0.012,0.005,0.013,0.010,0.011,0.007,0.009,0.009,0.011,0.012,0.008,0.012,0.012,0.010,0.011,0.010,0.008,0.010,0.009,0.010,0.012,0.014,0.007,0.006,0.012,0.008,0.010,0.012,0.010,0.011,0.012,0.007,0.007,0.008,0.009,0.008,0.005,0.016,0.011,0.006,0.008,0.006,0.010,0.011,0.006,0.010,0.006,0.006,0.008,0.006,0.011,0.012,0.007,0.014,983
Client  22,0.009,0.015,0.007,0.004,0.006,0.012,0.009,0.009,0.012,0.007,0.012,0.009,0.013,0.013,0.006,0.016,0.009,0.009,0.003,0.016,0.004,0.012,0.009,0.013,0.013,0.010,0.010,0.012,0.012,0.009,0.007,0.010,0.006,0.009,0.012,0.006,0.009,0.015,0.010,0.012,0.018,0.009,0.007,0.010,0.012,0.009,0.010,0.009,0.012,0.015,0.012,0.013,0.004,0.007,0.012,0.009,0.013,0.009,0.018,0.015,0.013,0.012,0.009,0.012,0.007,0.009,0.007,0.006,0.013,0.006,0.009,0.006,0.013,0.006,0.007,0.016,0.007,0.004,0.004,0.010,0.015,0.022,0.010,0.006,0.006,0.015,0.012,0.004,0.010,0.004,0.015,0.013,0.013,0.006,0.004,0.007,0.009,0.006,0.013,0.013,680
Client  23,0.019,0.017,0.011,0.009,0.006,0.004,0.019,0.013,0.009,0.006,0.004,0.004,0.011,0.013,0.011,0.004,0.009,0.024,0.009,0.004,0.017,0.004,0.013,0.009,0.004,0.006,0.013,0.013,0.00,0.009,0.024,0.009,0.002,0.017,0.013,0.00,0.013,0.004,0.017,0.013,0.009,0.011,0.013,0.013,0.017,0.006,0.009,0.017,0.002,0.006,0.011,0.004,0.011,0.015,0.009,0.015,0.009,0.006,0.002,0.021,0.011,0.006,0.011,0.011,0.006,0.006,0.009,0.004,0.011,0.019,0.017,0.011,0.011,0.011,0.006,0.011,0.013,0.019,0.002,0.004,0.011,0.009,0.009,0.011,0.009,0.015,0.015,0.013,0.011,0.009,0.011,0.013,0.006,0.013,0.002,0.011,0.004,0.004,0.011,0.009,468
Client  24,0.007,0.012,0.024,0.019,0.007,0.009,0.007,0.009,0.014,0.014,0.017,0.017,0.007,0.002,0.024,0.014,0.021,0.002,0.009,0.002,0.017,0.009,0.005,0.002,0.005,0.009,0.019,0.012,0.012,0.009,0.012,0.007,0.005,0.009,0.012,0.017,0.005,0.009,0.007,0.005,0.007,0.007,0.007,0.009,0.024,0.009,0.012,0.005,0.007,0.009,0.021,0.009,0.002,0.005,0.007,0.007,0.007,0.012,0.012,0.007,0.014,0.002,0.017,0.009,0.009,0.019,0.012,0.002,0.014,0.012,0.007,0.005,0.012,0.009,0.017,0.007,0.012,0.012,0.014,0.007,0.009,0.007,0.005,0.005,0.002,0.009,0.017,0.012,0.024,0.009,0.005,0.012,0.007,0.009,0.007,0.007,0.005,0.012,0.007,0.007,424
Client  25,0.019,0.010,0.015,0.027,0.010,0.004,0.015,0.015,0.008,0.013,0.010,0.006,0.013,0.008,0.015,0.017,0.004,0.008,0.006,0.013,0.013,0.006,0.010,0.008,0.010,0.002,0.008,0.010,0.004,0.008,0.00,0.015,0.019,0.008,0.010,0.017,0.013,0.008,0.006,0.006,0.008,0.017,0.010,0.002,0.006,0.002,0.013,0.008,0.010,0.006,0.010,0.00,0.006,0.006,0.017,0.004,0.004,0.004,0.013,0.017,0.006,0.006,0.00,0.015,0.010,0.006,0.021,0.015,0.008,0.017,0.00,0.006,0.004,0.010,0.019,0.002,0.008,0.010,0.006,0.008,0.006,0.025,0.013,0.015,0.006,0.006,0.008,0.010,0.013,0.008,0.017,0.010,0.008,0.006,0.013,0.004,0.027,0.006,0.015,0.015,477
Client  26,0.012,0.015,0.011,0.012,0.015,0.009,0.006,0.009,0.012,0.012,0.006,0.009,0.006,0.008,0.009,0.015,0.012,0.012,0.012,0.006,0.012,0.009,0.008,0.009,0.014,0.005,0.012,0.005,0.012,0.009,0.008,0.002,0.006,0.015,0.008,0.012,0.015,0.012,0.008,0.015,0.011,0.011,0.012,0.002,0.009,0.019,0.006,0.009,0.009,0.012,0.011,0.011,0.003,0.006,0.009,0.009,0.014,0.012,0.002,0.008,0.005,0.020,0.008,0.006,0.009,0.011,0.011,0.005,0.011,0.008,0.006,0.017,0.019,0.011,0.008,0.008,0.006,0.012,0.015,0.012,0.011,0.011,0.005,0.011,0.012,0.012,0.009,0.006,0.012,0.008,0.011,0.011,0.012,0.011,0.011,0.006,0.009,0.019,0.002,0.006,646
Client  27,0.009,0.012,0.007,0.017,0.014,0.006,0.007,0.007,0.012,0.004,0.009,0.009,0.010,0.004,0.016,0.009,0.012,0.006,0.007,0.009,0.017,0.014,0.012,0.009,0.004,0.010,0.006,0.007,0.010,0.013,0.010,0.014,0.013,0.007,0.009,0.007,0.009,0.010,0.006,0.006,0.007,0.006,0.009,0.009,0.012,0.009,0.007,0.013,0.012,0.016,0.007,0.010,0.010,0.013,0.003,0.012,0.017,0.013,0.012,0.014,0.004,0.004,0.010,0.006,0.016,0.007,0.010,0.022,0.012,0.012,0.004,0.012,0.006,0.010,0.004,0.012,0.009,0.012,0.010,0.007,0.016,0.010,0.009,0.009,0.019,0.016,0.010,0.013,0.007,0.009,0.016,0.013,0.009,0.003,0.013,0.010,0.009,0.013,0.009,0.013,692
Client  28,0.013,0.025,0.013,0.010,0.010,0.010,0.008,0.013,0.008,0.025,0.013,0.013,0.008,0.008,0.005,0.008,0.013,0.005,0.013,0.010,0.005,0.008,0.015,0.008,0.010,0.008,0.005,0.015,0.013,0.005,0.003,0.008,0.015,0.008,0.008,0.013,0.008,0.018,0.010,0.005,0.005,0.008,0.010,0.008,0.015,0.005,0.005,0.005,0.010,0.005,0.010,0.013,0.010,0.008,0.003,0.003,0.010,0.013,0.010,0.010,0.003,0.015,0.008,0.003,0.018,0.013,0.018,0.015,0.015,0.008,0.010,0.010,0.005,0.008,0.008,0.010,0.008,0.018,0.003,0.005,0.008,0.010,0.010,0.028,0.010,0.020,0.008,0.013,0.010,0.018,0.008,0.010,0.003,0.008,0.018,0.015,0.010,0.013,0.013,0.00,397
Client  29,0.009,0.017,0.013,0.011,0.013,0.015,0.013,0.009,0.011,0.011,0.007,0.015,0.011,0.009,0.009,0.006,0.019,0.009,0.007,0.004,0.011,0.013,0.011,0.015,0.009,0.011,0.004,0.019,0.013,0.011,0.009,0.004,0.011,0.006,0.002,0.015,0.009,0.009,0.007,0.011,0.007,0.011,0.022,0.006,0.004,0.017,0.011,0.007,0.015,0.011,0.007,0.007,0.013,0.002,0.009,0.013,0.007,0.002,0.006,0.013,0.013,0.009,0.009,0.007,0.009,0.006,0.009,0.011,0.015,0.006,0.007,0.007,0.007,0.007,0.002,0.011,0.009,0.009,0.009,0.011,0.007,0.015,0.011,0.007,0.011,0.009,0.007,0.011,0.006,0.019,0.007,0.004,0.013,0.019,0.015,0.007,0.015,0.013,0.006,0.006,536
Client  30,0.013,0.006,0.006,0.011,0.015,0.014,0.014,0.004,0.006,0.014,0.006,0.006,0.011,0.015,0.014,0.006,0.008,0.011,0.015,0.014,0.011,0.008,0.014,0.015,0.004,0.010,0.011,0.010,0.020,0.008,0.011,0.007,0.007,0.007,0.008,0.017,0.014,0.010,0.014,0.006,0.006,0.010,0.013,0.007,0.008,0.010,0.013,0.004,0.008,0.013,0.011,0.010,0.022,0.011,0.015,0.007,0.008,0.006,0.014,0.010,0.014,0.006,0.003,0.008,0.007,0.011,0.010,0.015,0.010,0.020,0.007,0.010,0.011,0.010,0.010,0.014,0.003,0.006,0.015,0.006,0.006,0.015,0.008,0.008,0.006,0.010,0.003,0.008,0.011,0.010,0.004,0.007,0.008,0.010,0.014,0.010,0.004,0.011,0.014,0.011,715
Client  31,0.014,0.014,0.010,0.006,0.008,0.013,0.008,0.006,0.013,0.008,0.011,0.017,0.017,0.010,0.008,0.007,0.008,0.007,0.011,0.008,0.008,0.014,0.010,0.008,0.004,0.007,0.006,0.017,0.015,0.011,0.013,0.013,0.011,0.017,0.010,0.011,0.006,0.010,0.010,0.008,0.013,0.007,0.006,0.008,0.010,0.013,0.004,0.013,0.013,0.008,0.013,0.013,0.008,0.006,0.007,0.011,0.013,0.004,0.010,0.008,0.017,0.015,0.017,0.001,0.010,0.011,0.014,0.015,0.006,0.010,0.011,0.013,0.010,0.011,0.010,0.010,0.008,0.010,0.006,0.011,0.010,0.008,0.008,0.011,0.010,0.010,0.008,0.007,0.011,0.015,0.006,0.004,0.008,0.008,0.013,0.017,0.010,0.008,0.010,0.003,715
