Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  24,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,500
Client  25,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  26,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,500
Client  27,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  28,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  29,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  30,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,500
Client  31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,500
Client  32,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,500
Client  33,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  34,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  35,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  36,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  37,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  38,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,500
Client  39,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  40,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,500
Client  41,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  42,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,500
Client  43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,500
Client  44,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  45,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,500
Client  46,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,500
Client  47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,500
Client  48,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,500
Client  49,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  50,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  51,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  52,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,500
Client  53,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,500
Client  54,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,500
Client  55,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,500
Client  57,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  58,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,500
Client  59,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,500
Client  60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,500
Client  61,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,500
Client  62,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,500
Client  64,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  65,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,500
Client  66,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,500
Client  67,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,500
Client  68,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  69,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,500
Client  70,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,500
Client  71,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  72,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  73,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,500
Client  74,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  75,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  76,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  77,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,500
Client  78,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  79,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,500
Client  80,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,500
Client  82,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,500
Client  83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,500
Client  84,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,500
Client  85,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,500
Client  86,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  87,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  88,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,500
Client  89,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,500
Client  90,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  91,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client  92,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  93,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,500
Client  94,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,500
Client  95,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  96,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  97,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,500
Client  98,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  99,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,500
