Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client  10,0.004,0.00,0.00,0.018,0.00,0.014,0.010,0.010,0.00,0.004,0.004,0.00,0.00,0.002,0.014,0.040,0.022,0.002,0.00,0.012,0.00,0.014,0.002,0.00,0.002,0.004,0.00,0.036,0.004,0.022,0.066,0.00,0.00,0.006,0.00,0.00,0.00,0.00,0.00,0.002,0.002,0.006,0.00,0.00,0.022,0.010,0.002,0.030,0.016,0.00,0.00,0.002,0.002,0.056,0.00,0.004,0.00,0.00,0.00,0.00,0.00,0.046,0.010,0.00,0.012,0.00,0.00,0.040,0.026,0.00,0.00,0.018,0.032,0.020,0.002,0.00,0.00,0.00,0.00,0.010,0.038,0.010,0.00,0.00,0.008,0.00,0.010,0.054,0.00,0.018,0.020,0.020,0.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502
Client  11,0.00,0.002,0.002,0.034,0.00,0.026,0.00,0.004,0.00,0.054,0.011,0.006,0.00,0.028,0.026,0.002,0.004,0.00,0.032,0.006,0.002,0.00,0.007,0.00,0.00,0.004,0.00,0.019,0.050,0.050,0.00,0.045,0.006,0.004,0.00,0.00,0.002,0.002,0.002,0.043,0.004,0.002,0.00,0.002,0.004,0.00,0.00,0.00,0.00,0.002,0.004,0.00,0.00,0.013,0.00,0.00,0.002,0.00,0.00,0.00,0.047,0.015,0.067,0.00,0.00,0.002,0.007,0.017,0.028,0.011,0.004,0.00,0.013,0.00,0.00,0.028,0.00,0.047,0.015,0.007,0.004,0.037,0.002,0.024,0.002,0.00,0.004,0.00,0.00,0.116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535
Client  12,0.002,0.00,0.018,0.030,0.087,0.00,0.010,0.032,0.030,0.00,0.00,0.002,0.002,0.018,0.00,0.012,0.00,0.002,0.002,0.028,0.002,0.00,0.002,0.004,0.028,0.010,0.010,0.028,0.00,0.002,0.002,0.002,0.010,0.014,0.00,0.00,0.006,0.002,0.00,0.004,0.00,0.00,0.016,0.004,0.00,0.002,0.00,0.002,0.020,0.012,0.00,0.010,0.002,0.00,0.00,0.002,0.032,0.00,0.006,0.028,0.00,0.006,0.008,0.008,0.038,0.008,0.014,0.00,0.00,0.083,0.00,0.002,0.008,0.139,0.002,0.00,0.014,0.00,0.00,0.062,0.002,0.052,0.00,0.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,504
Client  13,0.008,0.002,0.00,0.023,0.00,0.011,0.00,0.017,0.002,0.010,0.00,0.032,0.00,0.004,0.004,0.013,0.004,0.00,0.021,0.00,0.027,0.00,0.004,0.002,0.00,0.011,0.055,0.053,0.004,0.00,0.00,0.00,0.006,0.017,0.00,0.008,0.002,0.00,0.019,0.002,0.00,0.004,0.036,0.006,0.019,0.00,0.002,0.00,0.006,0.00,0.00,0.002,0.00,0.011,0.00,0.00,0.00,0.00,0.008,0.008,0.00,0.002,0.013,0.002,0.013,0.00,0.002,0.015,0.057,0.027,0.00,0.00,0.002,0.00,0.021,0.00,0.00,0.004,0.013,0.004,0.004,0.044,0.006,0.002,0.00,0.010,0.006,0.00,0.099,0.00,0.029,0.101,0.00,0.015,0.050,0.00,0.00,0.00,0.00,0.00,525
Client  14,0.00,0.00,0.008,0.002,0.016,0.00,0.004,0.004,0.00,0.004,0.00,0.002,0.016,0.00,0.042,0.018,0.014,0.046,0.032,0.00,0.00,0.002,0.022,0.00,0.00,0.00,0.002,0.002,0.038,0.00,0.050,0.00,0.00,0.00,0.008,0.012,0.00,0.00,0.044,0.006,0.00,0.122,0.004,0.00,0.014,0.008,0.010,0.004,0.026,0.006,0.00,0.002,0.030,0.004,0.002,0.002,0.00,0.020,0.00,0.00,0.00,0.002,0.006,0.00,0.024,0.002,0.002,0.036,0.002,0.020,0.016,0.002,0.00,0.002,0.002,0.00,0.022,0.030,0.020,0.016,0.060,0.018,0.012,0.00,0.00,0.024,0.010,0.00,0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,501
Client  15,0.004,0.056,0.00,0.00,0.002,0.00,0.002,0.00,0.00,0.00,0.022,0.004,0.010,0.094,0.00,0.002,0.00,0.002,0.006,0.00,0.00,0.064,0.006,0.00,0.002,0.00,0.00,0.00,0.002,0.00,0.028,0.00,0.00,0.006,0.00,0.002,0.004,0.00,0.00,0.004,0.00,0.024,0.078,0.010,0.002,0.002,0.00,0.002,0.00,0.00,0.002,0.00,0.006,0.00,0.006,0.002,0.006,0.004,0.032,0.064,0.00,0.00,0.046,0.004,0.00,0.004,0.012,0.048,0.040,0.00,0.002,0.048,0.008,0.026,0.002,0.070,0.108,0.020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  16,0.00,0.048,0.010,0.057,0.002,0.004,0.004,0.028,0.00,0.00,0.004,0.00,0.00,0.004,0.050,0.046,0.00,0.00,0.012,0.00,0.002,0.00,0.00,0.00,0.002,0.00,0.004,0.00,0.024,0.006,0.002,0.012,0.002,0.00,0.014,0.008,0.008,0.004,0.00,0.004,0.00,0.022,0.014,0.00,0.010,0.00,0.00,0.022,0.004,0.022,0.00,0.020,0.00,0.00,0.00,0.030,0.004,0.010,0.00,0.00,0.008,0.006,0.00,0.010,0.004,0.00,0.00,0.00,0.002,0.010,0.002,0.012,0.008,0.008,0.038,0.00,0.004,0.00,0.00,0.004,0.00,0.026,0.018,0.010,0.024,0.00,0.00,0.004,0.00,0.040,0.093,0.00,0.002,0.004,0.006,0.002,0.069,0.00,0.073,0.00,505
Client  17,0.00,0.006,0.002,0.004,0.059,0.004,0.00,0.014,0.00,0.002,0.002,0.010,0.00,0.014,0.014,0.041,0.014,0.002,0.020,0.012,0.00,0.006,0.008,0.012,0.00,0.002,0.00,0.002,0.00,0.002,0.004,0.002,0.002,0.00,0.049,0.00,0.00,0.00,0.024,0.00,0.002,0.028,0.00,0.002,0.004,0.00,0.008,0.010,0.00,0.00,0.002,0.033,0.00,0.00,0.018,0.006,0.00,0.00,0.00,0.008,0.006,0.00,0.035,0.002,0.006,0.012,0.00,0.004,0.002,0.028,0.051,0.047,0.00,0.018,0.00,0.010,0.00,0.00,0.030,0.00,0.004,0.012,0.002,0.00,0.00,0.030,0.002,0.002,0.00,0.00,0.00,0.016,0.00,0.002,0.061,0.022,0.018,0.020,0.004,0.093,492
Client  18,0.039,0.005,0.002,0.002,0.00,0.002,0.00,0.00,0.00,0.014,0.00,0.00,0.002,0.037,0.00,0.00,0.011,0.00,0.00,0.016,0.00,0.016,0.00,0.002,0.016,0.007,0.00,0.002,0.00,0.00,0.00,0.005,0.002,0.00,0.002,0.007,0.002,0.00,0.002,0.009,0.018,0.028,0.030,0.00,0.023,0.002,0.00,0.00,0.018,0.018,0.021,0.00,0.00,0.00,0.00,0.009,0.007,0.005,0.002,0.00,0.002,0.021,0.011,0.002,0.005,0.00,0.002,0.00,0.016,0.00,0.007,0.062,0.092,0.002,0.002,0.00,0.00,0.00,0.009,0.007,0.021,0.00,0.099,0.007,0.00,0.016,0.030,0.009,0.048,0.00,0.007,0.014,0.009,0.009,0.00,0.030,0.00,0.025,0.007,0.041,435
Client  19,0.002,0.00,0.043,0.00,0.002,0.00,0.00,0.00,0.004,0.007,0.002,0.00,0.00,0.00,0.00,0.002,0.00,0.00,0.00,0.016,0.00,0.002,0.00,0.00,0.00,0.00,0.074,0.005,0.002,0.041,0.007,0.023,0.002,0.011,0.00,0.014,0.005,0.00,0.00,0.00,0.041,0.005,0.007,0.00,0.014,0.002,0.004,0.005,0.032,0.00,0.00,0.00,0.095,0.002,0.00,0.002,0.00,0.00,0.009,0.034,0.00,0.047,0.00,0.00,0.00,0.004,0.004,0.002,0.014,0.00,0.023,0.00,0.00,0.022,0.00,0.00,0.016,0.004,0.00,0.005,0.00,0.002,0.002,0.002,0.002,0.00,0.108,0.002,0.005,0.005,0.002,0.004,0.002,0.032,0.022,0.027,0.007,0.014,0.103,0.00,555
Client  20,0.010,0.026,0.003,0.003,0.00,0.00,0.00,0.005,0.034,0.007,0.013,0.00,0.00,0.007,0.00,0.015,0.002,0.007,0.010,0.028,0.00,0.00,0.031,0.002,0.00,0.005,0.002,0.002,0.00,0.003,0.020,0.007,0.008,0.008,0.016,0.013,0.002,0.018,0.007,0.00,0.002,0.00,0.00,0.008,0.00,0.002,0.041,0.003,0.00,0.00,0.00,0.020,0.00,0.00,0.106,0.018,0.007,0.00,0.008,0.007,0.00,0.00,0.046,0.00,0.00,0.005,0.002,0.025,0.003,0.00,0.034,0.00,0.00,0.007,0.010,0.020,0.005,0.00,0.015,0.010,0.00,0.039,0.010,0.008,0.002,0.00,0.00,0.011,0.002,0.007,0.007,0.002,0.007,0.195,0.00,0.00,0.00,0.00,0.00,0.00,611
Client  21,0.072,0.024,0.00,0.063,0.011,0.00,0.006,0.006,0.007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.004,0.00,0.028,0.00,0.00,0.013,0.002,0.00,0.033,0.002,0.015,0.00,0.00,0.00,0.002,0.00,0.006,0.054,0.00,0.006,0.00,0.002,0.004,0.031,0.00,0.002,0.00,0.00,0.022,0.030,0.00,0.00,0.004,0.00,0.004,0.00,0.015,0.00,0.009,0.007,0.017,0.009,0.00,0.011,0.006,0.006,0.00,0.006,0.006,0.00,0.017,0.00,0.019,0.059,0.007,0.002,0.002,0.011,0.022,0.00,0.017,0.00,0.00,0.002,0.00,0.020,0.002,0.00,0.00,0.020,0.009,0.00,0.007,0.00,0.037,0.002,0.00,0.00,0.017,0.187,0.00,0.00,0.00,0.00,540
Client  22,0.002,0.002,0.00,0.00,0.032,0.002,0.002,0.021,0.00,0.00,0.002,0.021,0.137,0.002,0.00,0.025,0.035,0.00,0.019,0.00,0.030,0.012,0.012,0.00,0.002,0.00,0.016,0.007,0.00,0.005,0.00,0.002,0.00,0.037,0.00,0.00,0.00,0.00,0.00,0.023,0.030,0.037,0.00,0.005,0.002,0.00,0.002,0.021,0.005,0.00,0.002,0.007,0.009,0.002,0.002,0.021,0.002,0.044,0.00,0.00,0.00,0.007,0.005,0.002,0.005,0.00,0.016,0.00,0.002,0.002,0.021,0.00,0.007,0.00,0.00,0.009,0.030,0.005,0.005,0.002,0.007,0.053,0.00,0.00,0.007,0.035,0.009,0.002,0.007,0.023,0.00,0.002,0.00,0.012,0.00,0.00,0.058,0.023,0.00,0.002,432
Client  23,0.008,0.002,0.002,0.002,0.00,0.00,0.002,0.002,0.00,0.028,0.00,0.086,0.016,0.00,0.00,0.002,0.00,0.002,0.008,0.034,0.00,0.00,0.00,0.00,0.00,0.010,0.082,0.014,0.00,0.002,0.00,0.008,0.002,0.046,0.064,0.00,0.010,0.020,0.044,0.00,0.074,0.002,0.008,0.00,0.012,0.082,0.00,0.032,0.00,0.056,0.00,0.00,0.016,0.070,0.00,0.004,0.070,0.00,0.002,0.002,0.054,0.00,0.012,0.008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  24,0.00,0.008,0.004,0.100,0.054,0.00,0.00,0.00,0.026,0.00,0.008,0.00,0.006,0.00,0.00,0.00,0.00,0.018,0.002,0.002,0.050,0.00,0.00,0.137,0.004,0.00,0.00,0.006,0.00,0.002,0.004,0.030,0.016,0.002,0.022,0.004,0.00,0.00,0.00,0.002,0.00,0.002,0.002,0.028,0.014,0.00,0.002,0.080,0.002,0.046,0.00,0.046,0.00,0.00,0.030,0.010,0.006,0.024,0.00,0.00,0.00,0.00,0.00,0.048,0.00,0.00,0.014,0.004,0.00,0.004,0.00,0.048,0.00,0.00,0.010,0.00,0.018,0.024,0.00,0.002,0.00,0.002,0.010,0.002,0.002,0.002,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502
Client  25,0.020,0.002,0.004,0.00,0.011,0.00,0.00,0.00,0.00,0.004,0.025,0.004,0.005,0.00,0.002,0.013,0.002,0.007,0.00,0.004,0.009,0.002,0.00,0.00,0.00,0.007,0.00,0.002,0.00,0.00,0.002,0.002,0.005,0.00,0.00,0.002,0.00,0.027,0.051,0.004,0.016,0.00,0.00,0.002,0.018,0.033,0.038,0.002,0.00,0.00,0.002,0.00,0.00,0.00,0.00,0.031,0.009,0.011,0.071,0.00,0.00,0.00,0.00,0.011,0.011,0.031,0.002,0.014,0.007,0.020,0.020,0.005,0.00,0.005,0.013,0.002,0.005,0.007,0.018,0.024,0.009,0.00,0.002,0.00,0.143,0.00,0.002,0.056,0.00,0.004,0.020,0.00,0.016,0.004,0.103,0.00,0.00,0.00,0.00,0.00,552
Client  26,0.00,0.024,0.016,0.005,0.016,0.00,0.00,0.029,0.003,0.037,0.008,0.00,0.00,0.013,0.008,0.00,0.011,0.00,0.013,0.003,0.00,0.018,0.026,0.003,0.00,0.003,0.00,0.011,0.00,0.003,0.00,0.055,0.003,0.008,0.00,0.00,0.008,0.011,0.003,0.00,0.013,0.005,0.00,0.00,0.00,0.024,0.021,0.021,0.00,0.00,0.013,0.011,0.00,0.005,0.029,0.011,0.013,0.005,0.00,0.003,0.00,0.00,0.034,0.003,0.003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.013,0.003,0.008,0.005,0.00,0.061,0.032,0.00,0.00,0.00,0.00,0.003,0.042,0.003,0.003,0.00,0.00,0.003,0.079,0.00,0.018,0.00,0.00,0.011,0.005,0.034,0.095,0.037,380
Client  27,0.00,0.002,0.00,0.00,0.00,0.002,0.008,0.00,0.010,0.002,0.020,0.008,0.028,0.00,0.006,0.00,0.00,0.018,0.026,0.00,0.018,0.00,0.020,0.006,0.024,0.006,0.006,0.00,0.002,0.018,0.00,0.00,0.00,0.002,0.004,0.00,0.00,0.053,0.010,0.002,0.004,0.093,0.043,0.004,0.008,0.00,0.002,0.004,0.00,0.004,0.012,0.002,0.002,0.004,0.004,0.033,0.00,0.004,0.00,0.033,0.002,0.020,0.00,0.085,0.00,0.002,0.00,0.002,0.00,0.006,0.039,0.002,0.039,0.026,0.002,0.006,0.002,0.00,0.010,0.00,0.00,0.012,0.002,0.00,0.00,0.002,0.002,0.00,0.047,0.006,0.026,0.026,0.004,0.002,0.00,0.059,0.018,0.00,0.00,0.00,508
Client  28,0.010,0.045,0.00,0.006,0.033,0.00,0.008,0.002,0.00,0.016,0.012,0.053,0.010,0.00,0.002,0.074,0.012,0.00,0.00,0.00,0.00,0.010,0.00,0.00,0.00,0.004,0.002,0.006,0.020,0.00,0.006,0.051,0.006,0.004,0.00,0.00,0.002,0.027,0.025,0.002,0.00,0.00,0.002,0.002,0.012,0.018,0.004,0.00,0.049,0.008,0.004,0.020,0.055,0.037,0.00,0.00,0.002,0.00,0.00,0.014,0.021,0.006,0.00,0.010,0.010,0.004,0.031,0.00,0.00,0.047,0.002,0.002,0.00,0.006,0.00,0.00,0.00,0.018,0.00,0.00,0.002,0.002,0.00,0.078,0.031,0.002,0.002,0.021,0.035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512
Client  29,0.002,0.00,0.093,0.00,0.002,0.002,0.00,0.030,0.00,0.00,0.00,0.028,0.047,0.006,0.002,0.00,0.019,0.004,0.00,0.015,0.002,0.002,0.067,0.00,0.007,0.009,0.007,0.00,0.020,0.002,0.00,0.019,0.006,0.002,0.00,0.002,0.002,0.004,0.00,0.004,0.032,0.00,0.004,0.020,0.004,0.00,0.00,0.037,0.00,0.013,0.002,0.002,0.004,0.006,0.013,0.00,0.002,0.00,0.00,0.015,0.011,0.056,0.004,0.002,0.009,0.022,0.007,0.006,0.019,0.013,0.00,0.015,0.007,0.00,0.00,0.043,0.009,0.015,0.056,0.024,0.011,0.00,0.00,0.004,0.00,0.017,0.007,0.00,0.011,0.00,0.076,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,537
Client  30,0.012,0.00,0.002,0.023,0.012,0.00,0.004,0.00,0.025,0.006,0.070,0.00,0.004,0.00,0.018,0.004,0.00,0.00,0.00,0.006,0.004,0.010,0.00,0.016,0.033,0.00,0.025,0.00,0.010,0.00,0.00,0.002,0.016,0.00,0.004,0.00,0.012,0.006,0.00,0.031,0.035,0.010,0.00,0.010,0.00,0.004,0.006,0.049,0.00,0.00,0.00,0.00,0.004,0.00,0.00,0.00,0.00,0.002,0.010,0.00,0.00,0.002,0.002,0.002,0.010,0.00,0.002,0.00,0.002,0.002,0.006,0.008,0.00,0.002,0.014,0.078,0.004,0.00,0.060,0.031,0.004,0.00,0.00,0.021,0.002,0.00,0.014,0.004,0.037,0.00,0.006,0.127,0.008,0.00,0.00,0.00,0.00,0.055,0.00,0.006,487
Client  31,0.002,0.012,0.00,0.002,0.00,0.057,0.065,0.014,0.047,0.00,0.006,0.00,0.00,0.00,0.00,0.012,0.00,0.002,0.002,0.025,0.00,0.006,0.00,0.002,0.004,0.004,0.00,0.008,0.002,0.006,0.00,0.00,0.00,0.00,0.014,0.00,0.006,0.025,0.006,0.006,0.00,0.008,0.137,0.00,0.00,0.00,0.039,0.00,0.00,0.004,0.00,0.010,0.057,0.00,0.008,0.00,0.010,0.004,0.00,0.022,0.002,0.055,0.00,0.00,0.00,0.00,0.004,0.004,0.00,0.008,0.004,0.010,0.00,0.00,0.008,0.00,0.002,0.00,0.00,0.055,0.002,0.002,0.004,0.00,0.096,0.00,0.00,0.018,0.073,0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,510
