Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  75,0.130,0.096,0.096,0.076,0.090,0.076,0.104,0.130,0.110,0.092,500
Client  76,0.096,0.086,0.100,0.094,0.100,0.126,0.082,0.100,0.102,0.114,500
Client  77,0.110,0.108,0.110,0.100,0.086,0.094,0.104,0.098,0.110,0.080,500
Client  78,0.116,0.116,0.084,0.110,0.082,0.102,0.118,0.106,0.078,0.088,500
Client  79,0.086,0.080,0.100,0.086,0.112,0.112,0.104,0.086,0.102,0.132,500
Client  80,0.094,0.104,0.108,0.094,0.116,0.116,0.090,0.084,0.100,0.094,500
Client  81,0.110,0.082,0.086,0.114,0.106,0.096,0.072,0.116,0.116,0.102,500
Client  82,0.092,0.108,0.096,0.110,0.110,0.104,0.096,0.114,0.096,0.074,500
Client  83,0.118,0.092,0.084,0.118,0.118,0.110,0.074,0.094,0.098,0.094,500
Client  84,0.096,0.088,0.110,0.100,0.086,0.092,0.096,0.098,0.108,0.126,500
Client  85,0.092,0.086,0.086,0.100,0.102,0.098,0.098,0.112,0.110,0.116,500
Client  86,0.114,0.118,0.074,0.102,0.098,0.082,0.112,0.082,0.094,0.124,500
Client  87,0.088,0.112,0.110,0.102,0.086,0.090,0.104,0.088,0.110,0.110,500
Client  88,0.118,0.106,0.074,0.102,0.094,0.096,0.118,0.110,0.090,0.092,500
Client  89,0.126,0.086,0.120,0.078,0.090,0.094,0.112,0.116,0.092,0.086,500
Client  90,0.100,0.114,0.096,0.064,0.096,0.124,0.106,0.102,0.096,0.102,500
Client  91,0.068,0.118,0.108,0.088,0.108,0.096,0.116,0.106,0.094,0.098,500
Client  92,0.112,0.112,0.100,0.092,0.090,0.120,0.118,0.088,0.094,0.074,500
Client  93,0.102,0.104,0.088,0.112,0.090,0.106,0.106,0.074,0.104,0.114,500
Client  94,0.096,0.092,0.092,0.088,0.122,0.100,0.112,0.102,0.110,0.086,500
Client  95,0.114,0.104,0.104,0.090,0.104,0.094,0.110,0.098,0.082,0.100,500
Client  96,0.112,0.092,0.124,0.088,0.078,0.098,0.112,0.090,0.108,0.098,500
Client  97,0.098,0.120,0.096,0.120,0.104,0.084,0.102,0.078,0.104,0.094,500
Client  98,0.094,0.100,0.106,0.086,0.090,0.122,0.110,0.088,0.104,0.100,500
Client  99,0.082,0.084,0.120,0.106,0.124,0.084,0.128,0.086,0.086,0.100,500
