Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  63,0.095,0.111,0.114,0.088,0.097,0.109,0.072,0.093,0.097,0.123,568
Client  64,0.109,0.115,0.098,0.094,0.090,0.092,0.090,0.096,0.096,0.119,478
Client  65,0.093,0.090,0.085,0.122,0.082,0.130,0.104,0.101,0.080,0.112,376
Client  66,0.126,0.104,0.115,0.088,0.088,0.099,0.070,0.110,0.094,0.107,374
Client  67,0.097,0.099,0.089,0.087,0.079,0.116,0.111,0.106,0.113,0.103,595
Client  68,0.090,0.108,0.094,0.102,0.105,0.116,0.094,0.086,0.099,0.107,619
Client  69,0.076,0.095,0.100,0.115,0.120,0.120,0.076,0.090,0.093,0.117,410
Client  70,0.104,0.086,0.118,0.111,0.109,0.064,0.111,0.098,0.111,0.089,642
Client  71,0.079,0.091,0.086,0.088,0.119,0.102,0.105,0.100,0.107,0.124,581
Client  72,0.103,0.103,0.066,0.103,0.122,0.092,0.085,0.140,0.085,0.100,271
Client  73,0.123,0.075,0.097,0.097,0.089,0.103,0.100,0.103,0.103,0.109,359
Client  74,0.100,0.083,0.090,0.110,0.100,0.117,0.090,0.080,0.127,0.103,300
Client  75,0.100,0.106,0.086,0.092,0.094,0.103,0.097,0.103,0.114,0.106,360
Client  76,0.088,0.093,0.101,0.125,0.100,0.105,0.096,0.098,0.100,0.095,582
Client  77,0.097,0.097,0.094,0.099,0.095,0.113,0.101,0.091,0.115,0.098,776
Client  78,0.107,0.094,0.094,0.114,0.114,0.107,0.089,0.096,0.100,0.085,448
Client  79,0.110,0.075,0.096,0.087,0.085,0.104,0.102,0.106,0.112,0.123,519
Client  80,0.100,0.083,0.110,0.065,0.115,0.094,0.119,0.108,0.096,0.110,480
Client  81,0.098,0.129,0.071,0.087,0.076,0.096,0.087,0.131,0.109,0.118,450
Client  82,0.111,0.100,0.090,0.095,0.121,0.085,0.141,0.085,0.095,0.077,389
Client  83,0.110,0.110,0.085,0.105,0.095,0.103,0.102,0.093,0.090,0.107,600
Client  84,0.098,0.096,0.116,0.092,0.104,0.084,0.104,0.104,0.108,0.094,490
Client  85,0.101,0.088,0.101,0.109,0.100,0.119,0.097,0.103,0.103,0.080,672
Client  86,0.099,0.094,0.125,0.105,0.099,0.081,0.092,0.094,0.101,0.108,553
Client  87,0.082,0.118,0.090,0.106,0.082,0.080,0.127,0.096,0.118,0.100,510
Client  88,0.097,0.100,0.094,0.112,0.095,0.097,0.105,0.103,0.107,0.091,1365
Client  89,0.100,0.088,0.103,0.107,0.094,0.097,0.094,0.119,0.094,0.103,319
Client  90,0.140,0.094,0.117,0.098,0.088,0.075,0.088,0.101,0.117,0.081,307
Client  91,0.115,0.111,0.100,0.093,0.111,0.091,0.102,0.102,0.075,0.102,669
Client  92,0.106,0.103,0.095,0.109,0.072,0.117,0.095,0.090,0.122,0.090,377
Client  93,0.096,0.088,0.098,0.115,0.099,0.110,0.094,0.125,0.086,0.090,898
Client  94,0.112,0.107,0.115,0.121,0.127,0.092,0.089,0.059,0.083,0.095,338
Client  95,0.104,0.125,0.082,0.113,0.088,0.091,0.095,0.113,0.095,0.093,441
Client  96,0.085,0.097,0.109,0.129,0.092,0.127,0.090,0.102,0.075,0.095,402
Client  97,0.094,0.113,0.113,0.098,0.100,0.075,0.098,0.108,0.083,0.117,520
Client  98,0.106,0.113,0.089,0.075,0.123,0.099,0.103,0.097,0.094,0.101,575
Client  99,0.106,0.074,0.088,0.129,0.100,0.097,0.091,0.115,0.118,0.082,340
