Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  74,0.00,0.002,0.312,0.00,0.038,0.260,0.387,0.00,0.00,0.00,599
Client  75,0.207,0.008,0.00,0.007,0.210,0.568,0.00,0.00,0.00,0.00,752
Client  76,0.038,0.261,0.120,0.158,0.147,0.011,0.255,0.005,0.00,0.005,184
Client  77,0.022,0.226,0.00,0.292,0.00,0.278,0.00,0.030,0.003,0.149,363
Client  78,0.062,0.239,0.378,0.042,0.094,0.135,0.050,0.00,0.00,0.00,519
Client  79,0.944,0.006,0.050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,519
Client  80,0.085,0.017,0.007,0.132,0.005,0.00,0.052,0.050,0.460,0.192,402
Client  81,0.113,0.020,0.002,0.260,0.605,0.00,0.00,0.00,0.00,0.00,547
Client  82,0.097,0.006,0.199,0.042,0.036,0.425,0.002,0.00,0.00,0.192,473
Client  83,0.104,0.026,0.00,0.016,0.005,0.026,0.00,0.505,0.00,0.318,192
Client  84,0.183,0.012,0.237,0.071,0.00,0.137,0.00,0.137,0.008,0.216,241
Client  85,0.017,0.00,0.017,0.00,0.410,0.017,0.022,0.00,0.017,0.500,178
Client  86,0.00,0.014,0.665,0.104,0.075,0.00,0.108,0.005,0.024,0.005,212
Client  87,0.024,0.053,0.00,0.035,0.00,0.009,0.182,0.198,0.037,0.462,455
Client  88,0.103,0.001,0.018,0.122,0.001,0.008,0.092,0.082,0.032,0.540,900
Client  89,0.00,0.012,0.048,0.277,0.153,0.349,0.024,0.084,0.048,0.004,249
Client  90,0.002,0.008,0.002,0.282,0.083,0.00,0.386,0.237,0.00,0.00,482
Client  91,0.026,0.002,0.008,0.507,0.004,0.014,0.00,0.440,0.00,0.00,505
Client  92,0.001,0.021,0.00,0.00,0.467,0.006,0.106,0.399,0.00,0.00,724
Client  93,0.195,0.041,0.008,0.045,0.004,0.407,0.00,0.302,0.00,0.00,514
Client  94,0.017,0.136,0.144,0.212,0.00,0.068,0.00,0.373,0.051,0.00,118
Client  95,0.004,0.189,0.002,0.286,0.309,0.00,0.039,0.00,0.00,0.172,570
Client  96,0.288,0.014,0.002,0.00,0.005,0.095,0.206,0.161,0.187,0.043,423
Client  97,0.00,0.223,0.777,0.00,0.00,0.00,0.00,0.00,0.00,0.00,534
Client  98,0.003,0.031,0.00,0.048,0.002,0.406,0.00,0.117,0.188,0.204,579
Client  99,0.293,0.007,0.698,0.00,0.00,0.00,0.002,0.00,0.00,0.00,573
